5,17.51,4.89,4.84,4.92,5.12
10,28.25,10.24,10.31,9.9,10.13
15,36.49,14.94,14.88,15.21,14.21
20,43.23,19.88,19.57,19.87,19.89
25,49.04,24.47,24.7,25.55,24.64
30,54.26,29.62,29.57,30.18,29.54
35,58.91,34.49,34.55,35.59,34.59
40,63.28,39.51,39.28,39.69,40.29
45,67.37,44.71,44.35,44.07,45.13
50,71.15,49.64,49.76,49.66,49.99
55,74.66,54.65,54.94,54.35,54.96
60,77.9,59.56,59.61,59.23,59.15
65,81.12,64.32,64.38,64.18,64.16
70,84.23,69.61,69.24,69.75,70.33
75,86.97,74.8,74.06,74.67,75.02
80,89.72,79.86,79.45,79.53,79.87
85,92.48,84.75,84.56,84.41,84.34
90,94.79,89.47,89.9,89.86,89.29
95,97.01,94.27,94.25,94.22,94.46
100,99,99,99,99,99
